script,cores,dataset,k,time
src/graphframe_bs.py,1,collins,10,30.58803701400757
src/graphframe_bs.py,1,collins,100,31.38023281097412
src/graphframe_bs.py,1,collins,1000,29.2769193649292
src/graphframe_bs.py,2,collins,10,24.48428463935852
src/graphframe_bs.py,2,collins,100,22.833560705184937
src/graphframe_bs.py,2,collins,1000,19.599233150482178
src/graphframe_bs.py,8,collins,10,18.67221188545227
src/graphframe_bs.py,8,collins,100,18.908872604370117
src/graphframe_bs.py,8,collins,1000,18.513964891433716
src/rdd_bs.py,1,collins,10,9.219404935836792
src/rdd_bs.py,1,collins,100,8.947774410247803
src/rdd_bs.py,1,collins,1000,9.352253675460815
src/rdd_bs.py,2,collins,10,9.313251495361328
src/rdd_bs.py,2,collins,100,9.166396856307983
src/rdd_bs.py,2,collins,1000,9.044026851654053
src/rdd_bs.py,8,collins,10,9.171149730682373
src/rdd_bs.py,8,collins,100,9.086631774902344
src/rdd_bs.py,8,collins,1000,9.210607528686523
src/rdd_fast.py,1,collins,10,4.090131998062134
src/rdd_fast.py,1,collins,100,4.0312323570251465
src/rdd_fast.py,1,collins,1000,4.045019626617432
src/rdd_fast.py,2,collins,10,4.059403419494629
src/rdd_fast.py,2,collins,100,3.798642158508301
src/rdd_fast.py,2,collins,1000,4.034178256988525
src/rdd_fast.py,8,collins,10,3.867384910583496
src/rdd_fast.py,8,collins,100,4.296428680419922
src/rdd_fast.py,8,collins,1000,4.024558782577515
